model_name,cv_selection_score,cv_roc_auc,cv_average_precision,cv_fraud_f1,test_roc_auc,test_average_precision,test_fraud_f1,test_fraud_precision,test_fraud_recall
lightgbm,0.9913056620099535,0.9989783906739701,0.9913056620099535,0.9501822145500306,0.9969640510263684,0.7377396955284835,0.20454545454545456,0.11637931034482758,0.84375
adaboost,0.9888890867323049,0.9987009726057815,0.9888890867323049,0.9375236432416703,0.9970924774699599,0.727896007400113,0.23673469387755103,0.13615023474178403,0.90625
xgboost,0.9857559043474936,0.99799385119119,0.9857559043474936,0.9290782059950417,0.9974960103054072,0.7336589141887822,0.25925925925925924,0.15217391304347827,0.875
logistic_regression,0.9818916213869727,0.9942588864097329,0.9818916213869727,0.9097570079844135,0.9711301266271695,0.5620419751031717,0.12916666666666668,0.06919642857142858,0.96875
catboost,0.9803960992671374,0.9954528835960774,0.9803960992671374,0.9233304702987342,0.9971615800233644,0.7648320523088439,0.14187643020594964,0.07654320987654321,0.96875
gradient_boosting,0.9768421593659266,0.991322929254752,0.9768421593659266,0.9246959932754274,0.9957104264018692,0.7529138861779202,0.2178988326848249,0.12444444444444444,0.875
random_forest,0.9757516395953557,0.9959431930008726,0.9757516395953557,0.9047712636675117,0.9952501773197597,0.7538113684881624,0.30337078651685395,0.18493150684931506,0.84375
bagging_tree,0.9691315506892444,0.996669966485428,0.9691315506892444,0.8784106386351774,0.9959757541305073,0.5993974502805789,0.2032520325203252,0.11682242990654206,0.78125
extra_trees,0.9170628171461962,0.9828217774108904,0.9170628171461962,0.7654421768707484,0.9909097546728973,0.7622400747971072,0.06880189798339265,0.035758323057953144,0.90625
